Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
11/27/2007,MUNDRAPORT,EQ,440,770,1050,770,959,962.9,984.72,27294366,2687719053785000,,9859619,0.3612
11/28/2007,MUNDRAPORT,EQ,962.9,984,990,874,885,893.9,941.38,4581338,431276530165000,,1453278,0.3172
11/29/2007,MUNDRAPORT,EQ,893.9,909,914.75,841,887,884.2,888.09,5124121,455065846265000,,1069678,0.2088
11/30/2007,MUNDRAPORT,EQ,884.2,890,958,890,929,921.55,929.17,4609762,428325662830000,,1260913,0.2735
12/3/2007,MUNDRAPORT,EQ,921.55,939.75,995,922,980,969.3,965.65,2977470,287519974300000,,816123,0.2741
12/4/2007,MUNDRAPORT,EQ,969.3,985,1056,976,1049,1041.45,1015.39,4849250,492386736075000,,1537667,0.3171
12/5/2007,MUNDRAPORT,EQ,1041.45,1061,1099.5,1050,1084,1082.45,1082.79,2848209,308400973015000,,904260,0.3175
12/6/2007,MUNDRAPORT,EQ,1082.45,1089,1109.7,1051,1090.1,1081.3,1087.03,1749516,190177114020000,,825691,0.472
12/7/2007,MUNDRAPORT,EQ,1081.3,1100,1134,1078,1100,1102.4,1106.57,2247904,248746530710000,,697763,0.3104
12/10/2007,MUNDRAPORT,EQ,1102.4,1110,1110,1061.1,1073.55,1075.4,1080.38,1012350,109372679359999,,417514,0.4124
12/11/2007,MUNDRAPORT,EQ,1075.4,1081,1089,1041,1046,1047.65,1067.8,810464,86541556460000,,415191,0.5123
12/12/2007,MUNDRAPORT,EQ,1047.65,1032,1065,1016,1036.9,1036.8,1043.92,744799,77751369165000,,363848,0.4885
12/13/2007,MUNDRAPORT,EQ,1036.8,1040,1150,1030.25,1131.15,1129.95,1109.09,3067687,340233907520000,,1040076,0.339
12/14/2007,MUNDRAPORT,EQ,1129.95,1139.9,1140,1101.1,1107,1110.5,1119.55,1070737,119874627765000,,525239,0.4905
12/17/2007,MUNDRAPORT,EQ,1110.5,1140,1168,1021.5,1052,1044.25,1102.42,1404955,154884767715000,,670298,0.4771
12/18/2007,MUNDRAPORT,EQ,1044.25,1045,1109.9,1031.55,1085,1074.95,1077.84,1226984,132249513309999,,449420,0.3663
12/19/2007,MUNDRAPORT,EQ,1074.95,1091,1116,1046.3,1078,1066.9,1082.93,845666,91579757645000,,344171,0.407
12/20/2007,MUNDRAPORT,EQ,1066.9,1083.5,1083.5,1051,1067,1060.2,1065.52,623288,66412706110000,,276356,0.4434
12/24/2007,MUNDRAPORT,EQ,1060.2,1095,1192,1085.25,1160,1156.8,1160.77,2060892,239221361310000,,807879,0.392
